"lake_id","site_id","visit","air_temp","air_temp_units","ch4_diffusion","ch4_diffusion_units","ch4_ebullition","ch4_ebullition_units","ch4_total","ch4_total_units","ch4_deployment_length","ch4_deployment_length_units","co2_diffusion","co2_diffusion_units","co2flag","co2_ebullition","co2_ebullition_units","co2_total","co2_total_units","co2_deployment_length","co2_deployment_length_units","trap_deply_date_time","trap_deply_date_time_units","chamb_deply_date_time","chamb_deply_date_time_units","precipitation","precipitation_units","wind_speed","wind_speed_units","k_co2_600","k_ch4_600","k_co2_600_units","k_ch4_600_units"
1001,"16",1,32.5731897959184,"c",63.95,"mg CH4 m-2 d-1",151.271386,"mg CH4 m-2 d-1",215.21675,"mg CH4 m-2 d-1",60,"seconds",-4580.47,"mg CO2 m-2 d-1",NA,2.2348,"mg CO2 m-2 d-1",-4578.2363,"mg CO2 m-2 d-1",300,"seconds",2016-05-31 14:50:00,"UTC",2016-05-31 14:53:00,"UTC",1.717e-06,"m",0.58,"m s-1",NA,NA,NA,NA
1001,"17",1,33.0845683673469,"c",31.59,"mg CH4 m-2 d-1",137.028193,"mg CH4 m-2 d-1",168.6216,"mg CH4 m-2 d-1",180,"seconds",-548.92,"mg CO2 m-2 d-1",NA,2.9917,"mg CO2 m-2 d-1",-545.929,"mg CO2 m-2 d-1",240,"seconds",2016-05-31 15:44:00,"UTC",2016-05-31 15:45:00,"UTC",2.015e-06,"m",1,"m s-1",NA,NA,NA,NA
1001,"18",1,33.0907255102041,"c",15.01,"mg CH4 m-2 d-1",4.642187,"mg CH4 m-2 d-1",19.65182,"mg CH4 m-2 d-1",240,"seconds",-200.81,"mg CO2 m-2 d-1",NA,0.7049,"mg CO2 m-2 d-1",-200.1036,"mg CO2 m-2 d-1",180,"seconds",2016-05-31 16:06:00,"UTC",2016-05-31 16:06:00,"UTC",1.717e-06,"m",0.95,"m s-1",NA,NA,NA,NA
1002,"1",1,25.1078367088608,"c",58.43,"mg CH4 m-2 d-1",1.642231,"mg CH4 m-2 d-1",60.07128,"mg CH4 m-2 d-1",315,"seconds",2118.33,"mg CO2 m-2 d-1",NA,0.0301,"mg CO2 m-2 d-1",2118.3575,"mg CO2 m-2 d-1",315,"seconds",2016-06-07 15:31:00,"UTC",2016-06-07 15:36:00,"UTC",0.000107589,"m",5.44,"m s-1",NA,NA,NA,NA
1002,"2",1,25.0012237113402,"c",23.76,"mg CH4 m-2 d-1",0.016636,"mg CH4 m-2 d-1",23.77871,"mg CH4 m-2 d-1",415,"seconds",4197.09,"mg CO2 m-2 d-1",NA,0.4851,"mg CO2 m-2 d-1",4197.5718,"mg CO2 m-2 d-1",415,"seconds",2016-06-07 15:07:00,"UTC",2016-06-07 15:08:00,"UTC",5.9995e-05,"m",5.15,"m s-1",NA,NA,NA,NA
1002,"3",1,23.9740576923077,"c",29.49,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",29.48771,"mg CH4 m-2 d-1",194,"seconds",6455.72,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",6455.7234,"mg CO2 m-2 d-1",164,"seconds",2016-06-07 17:27:00,"UTC",2016-06-07 17:28:00,"UTC",0.00022729,"m",5.66,"m s-1",NA,NA,NA,NA
1002,"4",1,24.1387911111111,"c",34.37,"mg CH4 m-2 d-1",0.860103,"mg CH4 m-2 d-1",35.23127,"mg CH4 m-2 d-1",120,"seconds",5950.82,"mg CO2 m-2 d-1",NA,0.0158,"mg CO2 m-2 d-1",5950.8399,"mg CO2 m-2 d-1",120,"seconds",2016-06-07 16:46:00,"UTC",2016-06-07 16:49:00,"UTC",0.00022729,"m",5.66,"m s-1",NA,NA,NA,NA
1002,"5",1,24.8549244186047,"c",16.34,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",16.34152,"mg CH4 m-2 d-1",140,"seconds",3981.06,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",3981.0577,"mg CO2 m-2 d-1",140,"seconds",2016-06-07 15:58:00,"UTC",2016-06-07 15:59:00,"UTC",0.000199246,"m",5.34,"m s-1",NA,NA,NA,NA
1002,"6",1,24.0470189655172,"c",19.71,"mg CH4 m-2 d-1",0.974748,"mg CH4 m-2 d-1",20.68343,"mg CH4 m-2 d-1",180,"seconds",4107.79,"mg CO2 m-2 d-1",NA,0.0924,"mg CO2 m-2 d-1",4107.8842,"mg CO2 m-2 d-1",180,"seconds",2016-06-07 17:04:00,"UTC",2016-06-07 17:06:00,"UTC",0.00022729,"m",5.66,"m s-1",NA,NA,NA,NA
1002,"7",1,24.1327757281553,"c",31.6,"mg CH4 m-2 d-1",0.055487,"mg CH4 m-2 d-1",31.65866,"mg CH4 m-2 d-1",240,"seconds",6628.28,"mg CO2 m-2 d-1",NA,1.2518,"mg CO2 m-2 d-1",6629.5338,"mg CO2 m-2 d-1",240,"seconds",2016-06-07 17:44:00,"UTC",2016-06-07 17:45:00,"UTC",0.000237811,"m",5.88,"m s-1",NA,NA,NA,NA
1002,"8",1,24.5835693877551,"c",16.62,"mg CH4 m-2 d-1",2.532357,"mg CH4 m-2 d-1",19.1554,"mg CH4 m-2 d-1",300,"seconds",3151.77,"mg CO2 m-2 d-1",NA,0.0464,"mg CO2 m-2 d-1",3151.8119,"mg CO2 m-2 d-1",300,"seconds",2016-06-07 16:22:00,"UTC",2016-06-07 16:24:00,"UTC",0.000199246,"m",5.34,"m s-1",NA,NA,NA,NA
1002,"29",1,24.6267747474747,"c",16.38,"mg CH4 m-2 d-1",1.624941,"mg CH4 m-2 d-1",18.00084,"mg CH4 m-2 d-1",180,"seconds",3223.93,"mg CO2 m-2 d-1",NA,0.0298,"mg CO2 m-2 d-1",3223.9594,"mg CO2 m-2 d-1",180,"seconds",2016-06-07 14:57:00,"UTC",2016-06-07 14:57:00,"UTC",5.9995e-05,"m",5.15,"m s-1",NA,NA,NA,NA
1002,"30",1,22.6783476744186,"c",43.95,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",43.95257,"mg CH4 m-2 d-1",300,"seconds",3934.44,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",3934.4439,"mg CO2 m-2 d-1",300,"seconds",2016-06-07 13:11:00,"UTC",2016-06-07 13:23:00,"UTC",2.98e-06,"m",3.94,"m s-1",NA,NA,NA,NA
1002,"31",1,24.0093,"c",107.04,"mg CH4 m-2 d-1",9.595863,"mg CH4 m-2 d-1",116.63773,"mg CH4 m-2 d-1",180,"seconds",14301.53,"mg CO2 m-2 d-1",NA,0.1759,"mg CO2 m-2 d-1",14301.7067,"mg CO2 m-2 d-1",180,"seconds",2016-06-07 14:16:00,"UTC",2016-06-07 14:17:00,"UTC",3.6351e-05,"m",4.93,"m s-1",NA,NA,NA,NA
1002,"32",1,24.4717256880734,"c",44.61,"mg CH4 m-2 d-1",4.836722,"mg CH4 m-2 d-1",49.44344,"mg CH4 m-2 d-1",240,"seconds",6782.13,"mg CO2 m-2 d-1",NA,0.0886,"mg CO2 m-2 d-1",6782.2138,"mg CO2 m-2 d-1",240,"seconds",2016-06-07 14:42:00,"UTC",2016-06-07 14:43:00,"UTC",5.9995e-05,"m",5.15,"m s-1",NA,NA,NA,NA
1002,"33",1,23.1568047058824,"c",19.34,"mg CH4 m-2 d-1",98.924434,"mg CH4 m-2 d-1",118.26526,"mg CH4 m-2 d-1",300,"seconds",1504.61,"mg CO2 m-2 d-1",NA,1.5447,"mg CO2 m-2 d-1",1506.1569,"mg CO2 m-2 d-1",300,"seconds",2016-06-07 13:35:00,"UTC",2016-06-07 13:41:00,"UTC",2.0556e-05,"m",4.67,"m s-1",NA,NA,NA,NA
1002,"34",1,23.68011875,"c",58.43,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",58.42524,"mg CH4 m-2 d-1",240,"seconds",3776.73,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",3776.7304,"mg CO2 m-2 d-1",240,"seconds",2016-06-07 13:55:00,"UTC",2016-06-07 14:03:00,"UTC",3.6351e-05,"m",4.93,"m s-1",NA,NA,NA,NA
1002,"35",1,24.2658576086957,"c",18.18,"mg CH4 m-2 d-1",44.675172,"mg CH4 m-2 d-1",62.85704,"mg CH4 m-2 d-1",175,"seconds",2747.11,"mg CO2 m-2 d-1",NA,0.3172,"mg CO2 m-2 d-1",2747.4249,"mg CO2 m-2 d-1",175,"seconds",2016-06-07 14:28:00,"UTC",2016-06-07 14:29:00,"UTC",3.6351e-05,"m",4.93,"m s-1",NA,NA,NA,NA
1003,"1",1,31.8545744186047,"c",47.26,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",47.26174,"mg CH4 m-2 d-1",240,"seconds",-855.61,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-855.613,"mg CO2 m-2 d-1",240,"seconds",2016-07-20 14:30:00,"UTC",2016-07-20 14:33:00,"UTC",0,"m",0.44,"m s-1",NA,NA,NA,NA
1003,"2",1,33.0175428571429,"c",22.69,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",22.6907,"mg CH4 m-2 d-1",210,"seconds",-704.28,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-704.2815,"mg CO2 m-2 d-1",300,"seconds",2016-07-20 15:54:00,"UTC",2016-07-20 15:56:00,"UTC",4.41e-07,"m",0.7,"m s-1",NA,NA,NA,NA
1003,"3",1,32.5900813953488,"c",22.05,"mg CH4 m-2 d-1",371.139022,"mg CH4 m-2 d-1",393.18896,"mg CH4 m-2 d-1",210,"seconds",-1033.68,"mg CO2 m-2 d-1",NA,3.255,"mg CO2 m-2 d-1",-1030.4292,"mg CO2 m-2 d-1",240,"seconds",2016-07-20 14:54:00,"UTC",2016-07-20 14:57:00,"UTC",0,"m",0.44,"m s-1",NA,NA,NA,NA
1003,"4",1,32.8058094117647,"c",42.29,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",42.29139,"mg CH4 m-2 d-1",240,"seconds",-2122.45,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-2122.4541,"mg CO2 m-2 d-1",240,"seconds",2016-07-20 15:18:00,"UTC",2016-07-20 15:22:00,"UTC",0,"m",0.44,"m s-1",NA,NA,NA,NA
1003,"5",1,31.5513632653061,"c",104.39,"mg CH4 m-2 d-1",0.6362,"mg CH4 m-2 d-1",105.02681,"mg CH4 m-2 d-1",300,"seconds",-2851.05,"mg CO2 m-2 d-1",NA,0.6938,"mg CO2 m-2 d-1",-2850.3558,"mg CO2 m-2 d-1",280,"seconds",2016-07-20 14:22:00,"UTC",2016-07-20 14:24:00,"UTC",0,"m",0.67,"m s-1",NA,NA,NA,NA
1003,"6",1,33.8052153061224,"c",24.29,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",24.28988,"mg CH4 m-2 d-1",360,"seconds",-555.85,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-555.8487,"mg CO2 m-2 d-1",300,"seconds",2016-07-20 17:00:00,"UTC",2016-07-20 17:06:00,"UTC",4.41e-07,"m",1.13,"m s-1",NA,NA,NA,NA
1003,"7",1,32.2057069767442,"c",23.37,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",23.367,"mg CH4 m-2 d-1",240,"seconds",-873.45,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-873.4493,"mg CO2 m-2 d-1",180,"seconds",2016-07-20 14:40:00,"UTC",2016-07-20 14:43:00,"UTC",0,"m",0.44,"m s-1",NA,NA,NA,NA
1003,"8",1,32.8184744186047,"c",31.65,"mg CH4 m-2 d-1",3.602113,"mg CH4 m-2 d-1",35.25558,"mg CH4 m-2 d-1",240,"seconds",-1141.84,"mg CO2 m-2 d-1",NA,0.0744,"mg CO2 m-2 d-1",-1141.7656,"mg CO2 m-2 d-1",240,"seconds",2016-07-20 15:29:00,"UTC",2016-07-20 15:32:00,"UTC",4.41e-07,"m",0.7,"m s-1",NA,NA,NA,NA
1003,"9",1,33.1630173913044,"c",30.12,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",30.11987,"mg CH4 m-2 d-1",270,"seconds",-1272.32,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1272.3162,"mg CO2 m-2 d-1",270,"seconds",2016-07-20 16:07:00,"UTC",2016-07-20 16:09:00,"UTC",4.41e-07,"m",0.7,"m s-1",NA,NA,NA,NA
1003,"10",1,32.7730488372093,"c",36.43,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",36.43218,"mg CH4 m-2 d-1",240,"seconds",-1189.27,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1189.2694,"mg CO2 m-2 d-1",240,"seconds",2016-07-20 15:40:00,"UTC",2016-07-20 15:42:00,"UTC",4.41e-07,"m",0.58,"m s-1",NA,NA,NA,NA
1003,"31",1,34.4856244897959,"c",101.48,"mg CH4 m-2 d-1",703.761191,"mg CH4 m-2 d-1",805.2409,"mg CH4 m-2 d-1",60,"seconds",-1322.32,"mg CO2 m-2 d-1",NA,10.1195,"mg CO2 m-2 d-1",-1312.2012,"mg CO2 m-2 d-1",300,"seconds",2016-07-20 17:54:00,"UTC",2016-07-20 17:46:00,"UTC",4.41e-07,"m",1.56,"m s-1",NA,NA,NA,NA
1003,"32",1,29.5060861111111,"c",153.83,"mg CH4 m-2 d-1",351.170689,"mg CH4 m-2 d-1",504.99879,"mg CH4 m-2 d-1",300,"seconds",-2421.54,"mg CO2 m-2 d-1",NA,15.5589,"mg CO2 m-2 d-1",-2405.9782,"mg CO2 m-2 d-1",300,"seconds",2016-07-20 13:35:00,"UTC",2016-07-20 13:41:00,"UTC",0,"m",0.74,"m s-1",NA,NA,NA,NA
1003,"33",1,30.8279244897959,"c",32.19,"mg CH4 m-2 d-1",11.253624,"mg CH4 m-2 d-1",43.44035,"mg CH4 m-2 d-1",340,"seconds",-555.92,"mg CO2 m-2 d-1",NA,0.2325,"mg CO2 m-2 d-1",-555.6861,"mg CO2 m-2 d-1",300,"seconds",2016-07-20 14:03:00,"UTC",2016-07-20 14:07:00,"UTC",0,"m",0.67,"m s-1",NA,NA,NA,NA
1003,"35",1,30.1175523255814,"c",58.72,"mg CH4 m-2 d-1",399.428906,"mg CH4 m-2 d-1",458.14488,"mg CH4 m-2 d-1",60,"seconds",-411.48,"mg CO2 m-2 d-1",NA,1.9625,"mg CO2 m-2 d-1",-409.5154,"mg CO2 m-2 d-1",180,"seconds",2016-07-20 13:51:00,"UTC",2016-07-20 13:53:00,"UTC",0,"m",0.74,"m s-1",NA,NA,NA,NA
1003,"37",1,34.0331744186047,"c",52.19,"mg CH4 m-2 d-1",4.158268,"mg CH4 m-2 d-1",56.35028,"mg CH4 m-2 d-1",240,"seconds",-1130.1,"mg CO2 m-2 d-1",NA,0.0859,"mg CO2 m-2 d-1",-1130.0168,"mg CO2 m-2 d-1",240,"seconds",2016-07-20 17:22:00,"UTC",2016-07-20 17:25:00,"UTC",4.41e-07,"m",1.13,"m s-1",NA,NA,NA,NA
1004,"1",1,27.8658080808081,"c",30.49,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",30.48674,"mg CH4 m-2 d-1",300,"seconds",-541.52,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-541.5186,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 16:19:00,"UTC",2016-06-29 16:22:00,"UTC",2.58e-06,"m",2.35,"m s-1",NA,NA,NA,NA
1004,"2",1,28.0889837209302,"c",15.28,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",15.28437,"mg CH4 m-2 d-1",240,"seconds",-1688.84,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1688.84,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 16:51:00,"UTC",2016-06-29 16:53:00,"UTC",2.58e-06,"m",2.17,"m s-1",NA,NA,NA,NA
1004,"3",1,28.0828093023256,"c",11.75,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",11.7481,"mg CH4 m-2 d-1",240,"seconds",-2287.05,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-2287.0457,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 17:35:00,"UTC",2016-06-29 17:52:00,"UTC",2.574e-06,"m",1.99,"m s-1",NA,NA,NA,NA
1004,"4",1,28.4174627906977,"c",21.71,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",21.70999,"mg CH4 m-2 d-1",240,"seconds",-3164.79,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-3164.7868,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 17:18:00,"UTC",2016-06-29 17:21:00,"UTC",2.58e-06,"m",2.17,"m s-1",NA,NA,NA,NA
1004,"5",1,27.8691988372093,"c",15.9,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",15.89767,"mg CH4 m-2 d-1",240,"seconds",-1286.31,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1286.3075,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 16:03:00,"UTC",2016-06-29 16:06:00,"UTC",2.58e-06,"m",2.35,"m s-1",NA,NA,NA,NA
1004,"6",1,28.0091434343434,"c",10.71,"mg CH4 m-2 d-1",1.064194,"mg CH4 m-2 d-1",11.77472,"mg CH4 m-2 d-1",270,"seconds",-1207.97,"mg CO2 m-2 d-1",NA,0.0539,"mg CO2 m-2 d-1",-1207.9181,"mg CO2 m-2 d-1",270,"seconds",2016-06-29 16:38:00,"UTC",2016-06-29 16:40:00,"UTC",2.58e-06,"m",2.2,"m s-1",NA,NA,NA,NA
1004,"7",1,27.9190142857143,"c",7.07,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",7.07253,"mg CH4 m-2 d-1",300,"seconds",-1212.67,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1212.6745,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 18:02:00,"UTC",2016-06-29 18:04:00,"UTC",2.574e-06,"m",1.99,"m s-1",NA,NA,NA,NA
1004,"8",1,28.4382642857143,"c",6.35,"mg CH4 m-2 d-1",25.647652,"mg CH4 m-2 d-1",31.99983,"mg CH4 m-2 d-1",240,"seconds",-1220.05,"mg CO2 m-2 d-1",NA,1.1153,"mg CO2 m-2 d-1",-1218.9341,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 17:08:00,"UTC",2016-06-29 17:10:00,"UTC",2.58e-06,"m",2.17,"m s-1",NA,NA,NA,NA
1004,"9",1,28.1510151162791,"c",11.37,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",11.3653,"mg CH4 m-2 d-1",240,"seconds",-1419.5,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1419.4995,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 15:50:00,"UTC",2016-06-29 15:52:00,"UTC",2.58e-06,"m",2.22,"m s-1",NA,NA,NA,NA
1004,"10",1,28.0898744897959,"c",11.29,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",11.29146,"mg CH4 m-2 d-1",240,"seconds",-535.46,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-535.4604,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 15:34:00,"UTC",2016-06-29 15:36:00,"UTC",2.684e-06,"m",2.25,"m s-1",NA,NA,NA,NA
1004,"31",1,27.2248941176471,"c",NA,"mg CH4 m-2 d-1",0.153069,"mg CH4 m-2 d-1",NA,"mg CH4 m-2 d-1",NA,"seconds",-592.94,"mg CO2 m-2 d-1",NA,0.1276,"mg CO2 m-2 d-1",-592.8168,"mg CO2 m-2 d-1",180,"seconds",2016-06-29 15:03:00,"UTC",2016-06-29 15:05:00,"UTC",2.579e-06,"m",2.37,"m s-1",NA,NA,NA,NA
1004,"33",1,25.5612313953488,"c",35.14,"mg CH4 m-2 d-1",2.000596,"mg CH4 m-2 d-1",37.13979,"mg CH4 m-2 d-1",240,"seconds",-440.97,"mg CO2 m-2 d-1",NA,0.1013,"mg CO2 m-2 d-1",-440.8701,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 14:01:00,"UTC",2016-06-29 14:13:00,"UTC",2.575e-06,"m",2.68,"m s-1",NA,NA,NA,NA
1004,"34",1,26.0277091836735,"c",63.23,"mg CH4 m-2 d-1",0,"mg CH4 m-2 d-1",63.23059,"mg CH4 m-2 d-1",300,"seconds",-1117.85,"mg CO2 m-2 d-1",NA,0,"mg CO2 m-2 d-1",-1117.8511,"mg CO2 m-2 d-1",300,"seconds",2016-06-29 14:27:00,"UTC",2016-06-29 14:27:00,"UTC",2.575e-06,"m",2.68,"m s-1",NA,NA,NA,NA
1004,"35",1,27.6731895348837,"c",55.99,"mg CH4 m-2 d-1",156.358264,"mg CH4 m-2 d-1",212.35319,"mg CH4 m-2 d-1",90,"seconds",4315.45,"mg CO2 m-2 d-1",NA,7.9133,"mg CO2 m-2 d-1",4323.3616,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 15:20:00,"UTC",2016-06-29 15:20:00,"UTC",2.579e-06,"m",2.37,"m s-1",NA,NA,NA,NA
1004,"36",1,26.6831465116279,"c",64.41,"mg CH4 m-2 d-1",6.282992,"mg CH4 m-2 d-1",70.69789,"mg CH4 m-2 d-1",240,"seconds",-1631.69,"mg CO2 m-2 d-1",NA,0.3224,"mg CO2 m-2 d-1",-1631.372,"mg CO2 m-2 d-1",240,"seconds",2016-06-29 14:47:00,"UTC",2016-06-29 14:49:00,"UTC",2.579e-06,"m",2.37,"m s-1",NA,NA,NA,NA
